data processed,parameter,portofolio final value,%
BTCUSDT-2017-2020-1w,10,13199.391056365483,31.993910563654826
BTCUSDT-2017-2020-1w,11,13077.879060967043,30.77879060967043
BTCUSDT-2017-2020-1w,12,14309.529934763315,43.09529934763315
BTCUSDT-2017-2020-1w,13,13126.845394625067,31.268453946250663
BTCUSDT-2017-2020-1w,14,12877.34199337969,28.773419933796905
BTCUSDT-2017-2020-1w,15,12583.473913954922,25.834739139549217
BTCUSDT-2017-2020-1w,16,12237.471737267646,22.374717372676457
BTCUSDT-2017-2020-1w,17,12218.103047177869,22.181030471778683
BTCUSDT-2017-2020-1w,18,12236.044468714295,22.36044468714295
BTCUSDT-2017-2020-1w,19,11860.83180704582,18.608318070458207
BTCUSDT-2017-2020-1w,20,11654.76867472808,16.547686747280803
BTCUSDT-2017-2020-1w,21,11724.503452446794,17.245034524467936
BTCUSDT-2017-2020-1w,22,11849.708816244087,18.49708816244087
BTCUSDT-2017-2020-1w,23,11387.882169433722,13.878821694337221
BTCUSDT-2017-2020-1w,24,11966.205187685773,19.66205187685773
BTCUSDT-2017-2020-1w,25,11901.29984104261,19.0129984104261
BTCUSDT-2017-2020-1w,26,11745.978717188122,17.459787171881217
BTCUSDT-2017-2020-1w,27,11997.571066087163,19.97571066087163
BTCUSDT-2017-2020-1w,28,11823.821906403851,18.238219064038514
BTCUSDT-2017-2020-1w,29,11983.973291514925,19.839732915149252
BTCUSDT-2017-2020-1w,30,12156.324315404321,21.563243154043214
